"IDNota";"Titulo";"Nota"
1;"  No existen notas relacionadas";
2;"¿Cómo lograr buñuelos perfectos?";"Para freir buñuelos, el aceite deberá ser abundante y no estar demasiado caliente. Esto facilita que se hagan bien en su interior y que aumenten su volumen."
3;"¿Cómo evitar que las comidas fritas tengan ""gusto a aceite""?";"Para que las frituras no queden con gusto a aceite se le puede añadir a éste una corteza de limón o de pan embebida en vinagre y luego freirlo unos minutos. También puede utilizarse un trozo de papa cruda."
4;"¿Qué hacer con el azúcar que se ha endurecido?";"Para recuperar el azúcar que se ha aterronado se recomienda ponerlo en una servilleta y presionarlo varias veces con una botella."
5;"¿Cómo se logra el punto nieve?";"Para conseguir un buen punto nieve las claras deben ser muy frescas y haber estado un buen rato en la heladera. También es fundamental que el batidor y el recipiente estén limpios y bien secos."
6;"¿Cómo hacer para desmoldar fácilmente un flan?";"Lo más práctico es pasar un cuchillo fino alrededor del molde para dejar entrar un poco de aire. De esta manera, podrá desmoldarlo con éxito."
7;"¿A que temperatura debe estar el aceite para freír alimentos crudos?";"Cuando se fríen alimentos crudos el aceite debe estar a temperatura moderada, para que se cocinen y doren al mismo tiempo."
8;"¿Cómo evitar que el aceite se queme?";"Para hacer frituras durante un tiempo prolongado y sin que se queme el aceite, colóquele a éste un gajo de cebolla con su piel, o media cáscara de huevo. El mismo efecto se logra si se le añade una cuchara de alcohol fino."
9;"¿Cómo se tiernizan las carnes rojas?";"Las carnes duras se tiernizan dejándolas durante dos horas sumergidas en leche."
10;"¿El carpaccio se hace con carne cruda?";"La carne, para preparar el carpaccio, no se cuece, pero el limón de la vinagreta la cocina."
11;"¿Existe alguna diferencia entre el aceite de oliva y el de oliva virgen?";"El aceite de oliva virgen tiene un sabor más acentuado que el de oliva"
12;"¿ Es saludable consumir avena?";"La ingestión de avena es beneficiosa para reducir el nivel de colesterol en sangre, ya que tiene mucha fibra."
13;"¿Cómo se airea la harina?";"Las tortas y bollos resultan más esponjosos cuando se usa harina aireada. Para ello, cierna la harina pasándola por un tamiz o colador grande. Recuerde medirla después y no antes de tamizarla."
14;"Secretitos para hacer pastas caseras";"La harina 0000 permite conservarlas crudas sin que se formen puntos negros.
La masa resulta más tierna y fácil de estirar cuando se sustituye parte del huevo por agua y un poco de aceite.
Es conveniente hacer la masa sin sal, pues incrementa el tiempo de oreado.
Los ingredientes, por porción, son: 100 a 125 g. de harina, 1 huevo, 1/2 cucharada de aceite, 1/2 cucharada de agua.
Una masa con 5 huevos requiere que se la trabaje, manualmente, fuerte y vigorosamente unos 10 min. como mínimo.
Cuando se amasa en procesadora, no debe formar una bola, pues significaría exceso de líquido.
Previo a estirarla, manualmente, debe haber descansado unos 15 min. y hay que dejarla orear antes de cortar."
15;"¿En qué recipiente se bate mejor la crema?";"Nunca deben usarse recipientes de aluminio para batir cremas, de la clase que sean, porque toman sabor metálico. Lo recomendable es hacerlo en recipientes de plástico o enlozados."
16;"¿Qué es el mirin?";"El mirin, vino de arroz japonés, tiene escaso contenido alcohólico, es un ingrediente esencial en la cocina japonesa y se conserva indefinidamente."
17;"¿Para que sirve el alga nori?";"El alga nori se utiliza en la cocina japonesa para hacer los distintos tipos de sushi. Se expende en paquetes y su aspecto es de hojas rectangulares de papel celofán verde parduzco. Es aconsejable tostarla ligeramente antes de utilizarla."
18;"¿Cómo se puede conservar por más tiempo el jengibre fresco?";"El jengibre fresco se conserva por más tiempo si se congela y en el momento de utilizarlo se ralla, sin descongelarlo."
19;"¿Cómo se limpia el tsudare?";"es muy importante mantener limpio el tsudare, para hacerrlo hay que pasar un trapo húmedo después de utilizarlo."
20;"¿Qué es el wasabi y cómo se utiliza?";"El wasabi es un rábano verde, picante, originario de Japón, se utiliza principalmente como condimento del sushi, se caracteriza por ser muy picante, pero este efecto se percibe en las vías respiratorias, no en la boca. Se vende seco, en polvo y antes de utlizarlo hay que hidratarlo."
21;"¿Con qué se puede espesar guisos y sopas?";"Utilice manteca amasada para espesar guisos, cremas y sopas. Para eso, ponga igual cantidad de harina y manteca blanda en un plato hasta formar una pasta sin grumos. Luego agregue trozos de esta manteca a la preparación y bata con un batidor manual hasta lograr que se espese."
22;"¿Cuál es el método más práctico para pelar frutas secas?";"La técnica es muy simple: si quiere pelar almendras o nueces, sumérjalas primero en una olla con agua hirviendo y continúe el hervor hasta notar que la piel se desprende de los granos. Luego enfríelos y termine de retirar su piel."
23;"¿Cómo se pueden tostar almendras?";"Las almendras sin piel se pueden tostar en el microondas a potencia máxima durante 1 1/2 min."
24;"¿Cómo reemplazar la harina leudante?";"La harina leudante se reemplaza con 2 cucharaditas de polvo de hornear por cada 225 g. de harina común."
25;"¿Qué semillas son las más apropiadas para decorar panes?";"Las semillas de amapola, girasol, calabaza, hinojo y lino son las más usadas para la terminación de panes. Para esta decoración, pincele primero los panes con aceite o leche y espolvoréele luego las semillas por encima."
26;"¿Es posible recuperar la frescura del pan?";"El pan recupera la terneza si se pinta con agua y se cocina unos minutos, en horno precalentado, a temperatura elevada."
27;"¿Cuál es el secreto de una masa fina y maleable?";"La clave para obtener una masa de pizza fina y fácil de trabajar reside en ponerle un chorrito de cognac o grappa durante su preparación."
28;"¿Cómo se obtiene en casa el efecto ""a la piedra""?";"Si desea que la pizza aparente ser ""a la piedra"", estire la masa bien fina y colóquela sobre una pizzera enharinada. Luego llévela al horno bien caliente."
29;"¿Cómo se obtienen panes más esponjosos?";"A partir de la desgasificación de la masa. Cuando esto se logra después del primer leudado, los panes resultan más esponjosos y de mejor corteza."
30;"¿Cuándo ha levado bien la masa?";"Para saber si la masa con levadura ha alcanzado el punto justo de leudado coloque una bolita de masa dentro de un vaso con agua. Si la bolita sube a la superficie es señal de que ha alcanzado el nivel deseado."
31;"¿Cómo se logra la temperatura ideal del agua para la levadura?";"La temperatura de agua ideal para la levadura se logra mezclando igual cantidad de agua hirviendo y fría."
32;"¿Cuál es el secreto de la auténtica masa de pizza napolitana?";"En Nápoles utilizan harina 00, que tiene alto contenido de gluten, y el resultado es una masa consistente, pero liviana y tierna, se puede reemplazae con harina común sin blanquear."
33;"¿Cómo se pelan fácilmente los tomates?";"Lo más práctico para pelar tomates es hacerles una incisión en forma de cruz en la base y pasarlos ligeramente por agua hirviendo, teniendo cuidado de no dejarlos demasiado tiempo para que no se cocinen. Ponerlos luego en otro recipiente con agua helada y escurrirlos, tirando de las puntas formadas por la incisión de la base. La piel se desprenderá sin dificultad."
34;"¿Cómo hornear pizzas bien sabrosas?";"Para darle a la pizza un toque especial de sabor frote la pizzera con un diente de ajo. Antes de untarla con aceite, recuerde calentar la pizzera unos minutos en el horno: esto hará que corra mejor y se esparza completamente."
35;"¿Qué precaución hay que tomar para recalentar la pizza?";"Para recalentar una pizza del día anterior es aconsejable envolverla antes en papel aluminio y llevarlas unos tres minutos al horno."
36;"¿Qué hay que saber cuando se elabora helados?";"Los helados recién hechos, resultan más sabrosos, si permanecen en el freezer durante 24 hs., antes de consumirse, pues así se fija el sabor."
37;"¿Qué tipo de recipientes son los más apropiados para conservar y moldear helados?";"Los recipientes de metal son los mejores conductores de frío, por lo tanto los más apropiados para conservar y moldear helados."
40;"¿Cómo pelar fácilmente la naranja?";" Es más fácil pelar la naranja si, previamente, se la sumerje unos segundos en agua caliente"
41;"¿Cómo puede guardarse la ralladura de los cítricos?";"Una manera fácil de conservar ralladura de limón o naranja consiste en colocar la radulla de varias frutas en un frasco limpio, alternándola con azúcar y un poco de cognac. Guarde el frasco bien cerrado en la heladera."
42;"¿Pueden incorporarse huevos a la leche caliente?";"No, porque el calor del líquido los cocina. Cuando se hacen cremas o postres y se agregan huevos a la leche, ésta debe estar fría."
43;"¿Cómo evitar la formación de grumos en las yemas con azúcar?";"La clave está en no dejar estacionar el batido de azúcar con yemas mucho tiempo, ya que éste las cocina y facilita la aparición de grumos en la mezcla."
44;"¿Cómo se conservan mejor las yemas?";"Las yemas de huevo crudas se conservan durante más tiempo y no se les seca la superficie si se las guarda en la heladera dentro de un recipiente y se baña la superficie con agua fría."
45;"¿Cómo hornear panes en forma pareja?";"Para que los panes se horneen todos uniformemente divida la masa en trozos de igual peso haciendo primero un rollo y luego cortándolo a la mitad, y así sucesivamente hasta lograr el número de trozos deseado."
46;"¿Cómo recuperar el sabor del café de filtro?";"Para evitar que el café recalentado tenga feo sabor es aconsejable agregarle una gotas de agua helada antes de ponerlo nuevamente al fuego."
47;"¿Para qué formas de cocción es más apropiado el aceite de maíz?";"Este aceite tiene por característica ser ligero, por lo cual es apropiado para frituras y salteados."
48;"¿Cómo se ablanda la manteca?";"Si ha olvidado retirar la manteca de la heladera el tiempo necesario para lograr que se ablande a temperatura ambiente, puede calentarla y batirla con una cuchara de madera en un recipiente de acero inoxidable o enlozado, sin que llegue a derretirse y, menos, a hervir."
49;"¿Qué hay que tener en cuenta cuando hay que rellenar una base de torta esponjosa?";"Para cortar, fácilmente, en capas una base de torta esponjosa se rodea el contorno con hilo de algodón, cerrándolo luego, lentamente, con un nudo hasta que se corte completamente."
50;"¿Cómo hacer para condimentar las ensaladas sin estropear su apecto?";"Para lograr ensaladas atractivas, distribuya en forma decorativa los ingredientes y rocíe encima, uniformemente, el aderezo, sin mezclar."
51;"¿Cómo se hace el aliño para una ensalada?";"Para condimentar las ensaladas se recomienda unir en un recipiente las siguientes proporciones: tres partes de aceite por una de vinagre o aceto, sal y pimienta a gusto. Mezclar bien el aliño resultante con un tenedor y esparcir sobre toda la ensalada, para obtener un sabor parejo."
52;"¿Qué hacer con una lechuga no muy fresca?";"Utilice las hojas de lechugas que no estén tan frescas para elaborar buñuelos, tortillas y omelettes, sin cocción previa."
53;"¿Es posible eliminar el aliento a cebolla?";"El aliento a cebolla se quita mascando perejil, manzana o granos de café."
54;"¿Qué hacer si la salsa tiene grumos?";"Para eliminar los grumos de una salsa, colóquela en un bol y bátala con batidor eléctrico hasta que esté lisa nuevamente. Luego vuelva a ponerla en un recipiente y caliéntela al momento de usar."
55;"¿Cómo deben conservarse los huevos?";"Lo ideal es guardarlos en un lugar fresco, en posición vertical y con el extremo redondo hacia arriba. Esto impide que la yema descanse sobre la bolsa de aire y corra el riesgo de contaminarse."
56;"¿Cómo se hierven correctamente las pastas?";"Para que las pastas no se peguen es fundamental cocerlas en ollas grandes y profundas, en abundante agua hirviendo y con una cuchara sopera de aceite."
57;"¿Cómo pueden aprovecharse los restos de pasta?";"Si le ha sobrado una porción de pastas cocidas, utilícela para enriquecer rellenos, o para hacer croquetas, budines o tortillas."
58;"¿Cómo evitar que los spaguettis se quiebren?";"Para que los spaguettis no se rompan al sacarlos del agua conviene retirarlos con unas tenazas metálicas."
59;"¿Cuál es el secreto para secar y conservar tallarines caseros?";"A los tallarines hechos en casa conviene dejarlos orear en un palo enharinado. Cuando la pasta esté seca por fuera y húmeda por dentro se le puede dar forma de rulos, enrrollándola en el palo de amasar. Para un buen secado hay que esparcir los fideos sobre una placa forrada de papel blando e introducirlos al horno precalentado y apagado. Cuando se hayan enfriado hay que retirarlos y guardarlos envueltos en papel celofán o en frascos herméticos."
60;"¿Cómo lograr un rebozador más sabroso?";"Si se agregan especias o hierbas al pan rallado los alimentos que se rebocen tendrán mejor sabor."
61;"¿Cómo calcular la porción de arroz por persona?";"El arroz, cuando cocido aumenta 3 veces su tamaño, por li cual la porción por persona, es de 60 gr., o sea una taza de café."
62;"¿Cómo se limpia el wok?";"El wok se lava con agua, sin detergente y se seca sobre la hornalla a fuego bajo, durante unos minutos."
63;"¿Qué hacer si se encienden la grasa o la manteca?";"Si por accidente la manteca, la grasa o el aceite se prendieran fuego, apáguelo echando sobre el mismo un tarro de sal. Nunca intente apagar el fuego con agua, porque lo extenderá más y empeorará la situación."
64;"¿Cuál es la mejor forma de conservar la grasa de pella?";"Lo ideal es guardarla en un recipiente opaco, en un anaquel o estante que no esté expuesto a la luz; nunca en la heladera."
65;"¿Cómo se elabora la sal especiada?";"Para hacer sal especiada, ideal para sazonar fiambres, deben mezclarse cinco cucharaditas de sal fina con una de pimienta blanca y una de especias molidas a elección. A la mezcla que se obtiene conviene conservarla en potes bien cerrados y en lugares secos."
66;"¿Cuál es la prueba más certera para saber si los huevos son frescos?";"Para conocer el grado de frescura de los huevos el método más seguro consiste en sumergirlos en un recipiente lleno de agua, colocándolos uno a uno. Los frescos son los que quedan en el fondo; los que suben no lo son y los que flotan menos."
67;"¿Puede evitarse que la manteca tome gusto rancio?";"Sí, la forma más práctica es mezclarla con miel en un tazón, a razón de 60 gramos por kilo de manteca. Así retrasará el proceso de alteración de su composición."
68;"¿Cómo guardar el perejil fresco?";"Separar las hojas y desechar los tallos; lavar y secar con un paño limpio. Luego, en un plato, ponerlo en el freezer y cuando esté congelado desintegrarlo pasándole un palo de amasar. Conservar en un taper en el freezer."
69;"¿Qué hay que saber para hacer mayonesa?";"Si elabora mayonesa casera tenga en cuenta que no se conserva por mucho tiempo. Por eso, prepárela una vez a la semana. Si la hace con yemas solas, utilice la batidora pero si emplea huevos enteros, conviene usar licuadora."
70;"¿Qué hacer si la crema se pone agria?";"Para sacarle el gusto agrio a una crema lo mejor es añadirle una pizca de bicarbonato."
71;"¿Cómo se separan fácilmente las yemas de las claras?";"La manera más fácil es hacerlo con huevos que estén fríos, lo que reduce las posibilidades de que ambas partes se mezclen. Puede hacerlo de dos maneras. Con la mano: casque el huevo sobre un recipiente y póngaselo en la mano reteniendo la yema y dejando caer la clara, que se escurrirá entre los dedos. Con la cáscara: parta la cáscara por la mitad, y pase la yema de un trozo a otro de la cáscara mientras deja caer la clara dentro del bol."
72;"¿Cómo secar adecuadamente las cáscaras de los cítricos?";"El secreto para hacer cáscaras secas de limón, pomelo o naranja y que queden bien perfumadas consiste en pelar la fruta en espiral, formando tiras estrechas, pasarlas por un hilo y colgarlas en un lugar oscuro y seco. Cuatro o cinco días despúes ya estarán listas para ser guardadas en frascos de cierre hermético."
73;"¿Cómo lograr crêpes y panqueques estupendos?";"Muy fácil. Lo mejor para que los panqueques y crêpes queden más tiernos es dejar reposar la masa por lo menos veinte minutos. Esto hace que los ingredientes se asienten y se integren mejor al conjunto."
74;"¿Se puede decorar con pétalos?";"Los pétalos de flores, comestibles, como la rosa, escarchados son perfectos para decorar postres. Para lograr este efecto pinte los pétalos con clara de huevo batida, páselos luego por azúcar molida y deje secar."
75;"¿Cuál es la proporción exacta de sopa por persona?";"Un cuarto de litro es la medida ideal para calcular la cantidad exacta de caldo que se estima por persona cuando se está preparando una sopa. De este modo, se evitarán fallas en las proporciones."
76;"¿Cómo sacarse el olor a pescado de las manos?";"La solución es sencillísima pero eficiente: frótese las manos con limón o sal."
77;"¿Con qué sale el olor a cebolla o ajo de las manos?";"La sal y el jugo de limón son excelentes para eliminan el olor a cebolla o ajo de las manos. Otra forma de lograrlo es lavándose las manos con agua y jabón, y luego con agua mezclada con bicarbonato de sodio."
78;"¿Cuál es la mejor forma de servir vino?";"Las copas de llenan, con vino, hasta las 2/3 partes, así se saborean mejor, pues la capacidad sobrante resguarda el sabor."
79;"¿Cómo evitar el sabor fuerte a agua clorada?";"El sabor fuerte a cloro en el agua casi desaparece si se la deja reposar en un recipiente por lo menos 8 hs., antes de consumirla."
80;"¿Cómo obtener un arroz con leche perfecto?";"Para que al arroz con leche se le hinchen más los granos conviene incorporarle el azúcar al terminar la cocción."
81;"¿Cómo se distingue la frescura de los hongos?";"Los hongos son frescos si no están descoloridos, arrugados, manchados o pegajosos, ni el sombrero lastimado o el pie seco."
82;"¿Cómo suavizar el sabor de las cebollas?";"Si quiere que las cebollas no resulten fuertes, póngalas media hora en agua fría antes de usarlas. Esto las hará más suaves al paladar."
83;"¿Cómo elegir paltas bien frescas?";"Las mejores paltas son pequeñas, firmes y pesadas. Están a punto cuando al presionarlas con los dedos, éstas se hunden levemente."
84;"¿La espinaca se puede consumir cruda?";"Las hojas de espinacas pequeñas son excelentes, crudas, en ensaladas."
85;"¿Qué hacer cuando el jamón crudo es demasiado salado?";"Cuando el jamón crudo es muy salado se atenúa el sabor sumergiéndolo en leche unos 5 min."
86;"¿Cómo impedir que el frío de la heladera ""queme"" el apio?";"La mejor manera de conservar la planta de apio en la heladera es colocar sus hojas en un vaso con agua y el resto de la planta dentro de una bolsa de polietileno perforada y rociada en su interior con agua. Luego de este paso, ciérrela bien."
87;"¿Cómo hacer para que el coliflor no pierda color?";"Para impedir la decoloración del coliflor, que se produce cuando se lo corta y expone al aire, colóquelo en un bol con agua fría y una cucharada de jugo de limón o vinagre de vino blanco. Esta es la mejor forma de conservar perfecto el color de cualquier hortaliza blanca."
